Bolsonaro-0044|inicialmente uma das terras mais ricas do mundo|inicialmente uma das terras mais ricas do mundo
Bolsonaro-0045|caso das reservas ialomami e raposa serra do sol|caso das reservas ialomami e raposa serra do sol
Bolsonaro-0046|nessas reservas existe grande abundancia de ouro|nessas reservas existe grande abundancia de ouro
Bolsonaro-0047|esses territorios sao enormes a reserva ialomamis|esses territorios sao enormes a reserva ialomamis
Bolsonaro-0048|demonstra que os que nos atacam nao estao preo|demonstra que os que nos atacam nao estao preo
Bolsonaro-0049|assim com as riquezas minerais e a biodiversidade|assim com as riquezas minerais e a biodiversidade
Bolsonaro-0050|para mostrar aos senhores|para mostrar aos senhores
Bolsonaro-0051|zis|zis
Bolsonaro-0052|uma autoridade unica entre os indios eu quero ler uma carta aqui|uma autoridade unica entre os indios eu quero ler uma carta aqui
Bolsonaro-0053|insistem em fazer os pobres indigenas do brasil uma reserva de mercado|insistem em fazer os pobres indigenas do brasil uma reserva de mercado
Bolsonaro-0054|a organizacao das nacoes unidas teve papel fundamental|a organizacao das nacoes unidas teve papel fundamental
Bolsonaro-0055|sessenta e um por cento do nosso territorio e preser|sessenta e um por cento do nosso territorio e preser
Bolsonaro-0056|nossa politica e de tolerancia zero para com a criminalidade|nossa politica e de tolerancia zero para com a criminalidade
Bolsonaro-0057|quero reafirmar minha posicao de que qualquer iniciativa|quero reafirmar minha posicao de que qualquer iniciativa
Bolsonaro-0058|tambem rechacamos as tentativas de instrumentalizar|tambem rechacamos as tentativas de instrumentalizar
Bolsonaro-0059|estamos prontos para em parcerias e agregando va|estamos prontos para em parcerias e agregando va
Bolsonaro-0060|brasil reafirma seu compromisso intransigente|brasil reafirma seu compromisso intransigente
Bolsonaro-0061|e um compromisso que caminha junto com o combate a corrupcao e|e um compromisso que caminha junto com o combate a corrupcao e
Bolsonaro-0062|iremos contribuindo dentro e fora das nacoes unidas|iremos contribuindo dentro e fora das nacoes unidas
Bolsonaro-0063|terroristas sob o disfarce de perseguidos politicos nao|terroristas sob o disfarce de perseguidos politicos nao
Bolsonaro-0064|pouco presidentes socialistas que me antecederam|pouco presidentes socialistas que me antecederam
Bolsonaro-0065|foram julgados e punidos gracas ao patriotismo|foram julgados e punidos gracas ao patriotismo
Bolsonaro-0066|esses presidentes tambem transferiram boa parte|esses presidentes tambem transferiram boa parte
Bolsonaro-0067|mesmo assim eram aplaudidos em meu pais|mesmo assim eram aplaudidos em meu pais
Bolsonaro-0068|mais segurancas e com essas facilidades queremos|mais segurancas e com essas facilidades queremos
Bolsonaro-0069|toda sua vastidao e beleza natural|toda sua vastidao e beleza natural
Bolsonaro-0070|ela nao esta sendo devastada e nem consumida pelo fogo|ela nao esta sendo devastada e nem consumida pelo fogo
Bolsonaro-0071|cada um de voces podem comprovar o que estou falando|cada um de voces podem comprovar o que estou falando
Bolsonaro-0072|a perseguicao religiosa e um flagelo que devemos combater|a perseguicao religiosa e um flagelo que devemos combater
Bolsonaro-0073|forma incansavel nos ultimos anos testemunhamos|forma incansavel nos ultimos anos testemunhamos
Bolsonaro-0074|o brasil condena energicamente todos esses atos|o brasil condena energicamente todos esses atos
Bolsonaro-0075|preocupam o povo brasileiro em particular a crescente|preocupam o povo brasileiro em particular a crescente
Bolsonaro-0076|por isso apoiamos o dia internacional em memoria das vitimas|por isso apoiamos o dia internacional em memoria das vitimas
Bolsonaro-0077|nessa data recordaremos anualmente aqueles que so sofrem|nessa data recordaremos anualmente aqueles que so sofrem
Bolsonaro-0078|reafirmo nossa disposicao de manter|reafirmo nossa disposicao de manter
Bolsonaro-0079|uicao concreta as missoes da onu inclusivo no que diz respe|uicao concreta as missoes da onu inclusivo no que diz respe
Bolsonaro-0080|ao longo deste ano estabelecemos uma ampla agenda internacional|ao longo deste ano estabelecemos uma ampla agenda internacional
Bolsonaro-0081|em janeiro estivemos em davos onde apresentamos nosso ambi|em janeiro estivemos em davos onde apresentamos nosso ambi
Bolsonaro-0082|marco visitamos washington onde lancamos uma parceria abrangente|marco visitamos washington onde lancamos uma parceria abrangente
Bolsonaro-0083|ainda em marco estivemo no chile onde foi lancado o prosul|ainda em marco estivemo no chile onde foi lancado o prosul
Bolsonaro-0084|em sequencia visitamos israel onde identificamos inumeros|em sequencia visitamos israel onde identificamos inumeros
Bolsonaro-0085|visitamos tambem um de nossos grandes parceiros no cone sul a argentina|visitamos tambem um de nossos grandes parceiros no cone sul a argentina
Bolsonaro-0086|essas visitas reforcaram a amizade e aprofundamento das relacoes|essas visitas reforcaram a amizade e aprofundamento das relacoes
Bolsonaro-0087|pretendemos seguir o mesmo caminho com todo mundo arabe|pretendemos seguir o mesmo caminho com todo mundo arabe
Bolsonaro-0088|tambem estamos ansiosos para visitar nos parceiros e amigos na afri|tambem estamos ansiosos para visitar nos parceiros e amigos na afri
Bolsonaro-0089|os senhores podem ver o brasil e um pais aberto ao mundo|os senhores podem ver o brasil e um pais aberto ao mundo
Bolsonaro-0090|senhoras e senhores o brasil que represento e um pais que|senhoras e senhores o brasil que represento e um pais que
Bolsonaro-0091|estamos preparados para assumir as responsabilidades que nos cabe|estamos preparados para assumir as responsabilidades que nos cabe
Bolsonaro-0092|a ideologia se instalou no terreno da cultura da educacao|a ideologia se instalou no terreno da cultura da educacao
Bolsonaro-0093|a ideologia invadiu nossos lares para invertir contra|a ideologia invadiu nossos lares para invertir contra
Bolsonaro-0094|tentam ainda destruir a inocencia de nossas criancas pervetem|tentam ainda destruir a inocencia de nossas criancas pervetem
Bolsonaro-0095|ticamente correto passou a dominar o debate para expul|ticamente correto passou a dominar o debate para expul
Bolsonaro-0096|a ideologia invadiu a propria humana para dela expulsar|a ideologia invadiu a propria humana para dela expulsar
Bolsonaro-0097|sou prova viva disso fui covardemente esfaqueado|sou prova viva disso fui covardemente esfaqueado
Bolsonaro-0098|mais uma vez agradeco a deus pela minha vida|mais uma vez agradeco a deus pela minha vida
Bolsonaro-0099|a onu pode ajudar a derrotar o ambiente materialista e ideolo|a onu pode ajudar a derrotar o ambiente materialista e ideolo
Bolsonaro-0100|essa organizacao foi criada para promover a paz entre na|essa organizacao foi criada para promover a paz entre na
Bolsonaro-0101|nas questoes do clima da democracia dos direitos humanos|nas questoes do clima da democracia dos direitos humanos
